num	date	subjStartTime	trialNum	facingDir	stimName	background	inView	imagAdj	rt
4	2021-11-22	23:32:30	16	left	chair/Chair_Black_L.png	background/sea_adjusted.png	true	260	1.717
num	date	subjStartTime	trialNum	facingDir	stimName	background	inView	imagAdj	rt
6	2021-11-22	23:38:36	1	left	chair/Chair_Black_L.png	background/grassfield_adjusted.png	true	-91	6.632
6	2021-11-22	23:38:36	2	right	chair/Chair_R_small.png	background/sea_adjusted.png	true	-138	4.415
6	2021-11-22	23:38:36	3	left	chair/Chair_Black_L.png	background/sea_adjusted.png	true	145	3.041
6	2021-11-22	23:38:36	4	right	averted_gaze/CC_R2_small.png	background/sea_adjusted.png	true	-124	3.287
6	2021-11-22	23:38:36	5	right	chair/Chair_R_small.png	background/grassfield_adjusted.png	true	-162	2.549
6	2021-11-22	23:38:36	6	left	chair/Chair_L_small.png	background/sea_adjusted.png	true	174	2.526
6	2021-11-22	23:38:36	7	right	chair/Chair_Black_R.png	background/grassfield_adjusted.png	true	-199	1.805
6	2021-11-22	23:38:36	8	right	chair/Chair_Black_R.png	background/sea_adjusted.png	true	-186	2.386
6	2021-11-22	23:38:36	9	left	averted_gaze/CC_L2_small.png	background/sea_adjusted.png	true	154	2.853
6	2021-11-22	23:38:36	10	right	averted_gaze/CC_R2_small.png	background/grassfield_adjusted.png	true	-177	1.904
6	2021-11-22	23:38:36	11	right	averted_gaze/YC_R2_small.png	background/sea_adjusted.png	true	-173	2.861
6	2021-11-22	23:38:36	12	left	averted_gaze/YC_L2_small.png	background/grassfield_adjusted.png	true	182	1.902
6	2021-11-22	23:38:36	13	right	averted_gaze/YC_R2_small.png	background/grassfield_adjusted.png	true	-187	2.844
6	2021-11-22	23:38:36	14	left	averted_gaze/CC_L2_small.png	background/grassfield_adjusted.png	true	179	2.035
6	2021-11-22	23:38:36	15	left	averted_gaze/YC_L2_small.png	background/sea_adjusted.png	true	167	1.813
6	2021-11-22	23:38:36	16	left	chair/Chair_L_small.png	background/grassfield_adjusted.png	true	187	1.593
num	date	subjStartTime	trialNum	facingDir	stimName	background	inView	imagAdj	rt
7	2021-11-23	00:06:20	1	left	averted_gaze/CC_L2_small.png	background/grassfield_adjusted.png	true	218	5.978
7	2021-11-23	00:06:20	2	right	chair/Chair_Black_R.png	background/grassfield_adjusted.png	true	-260	8.372
7	2021-11-23	00:06:20	3	right	chair/Chair_R_small.png	background/sea_adjusted.png	true	-192	3.21
7	2021-11-23	00:06:20	4	right	averted_gaze/CC_R2_small.png	background/grassfield_adjusted.png	true	-252	2.991
7	2021-11-23	00:06:20	5	left	chair/Chair_L_small.png	background/sea_adjusted.png	true	260	2.231
7	2021-11-23	00:06:20	6	right	chair/Chair_Black_R.png	background/sea_adjusted.png	true	-201	2.141
7	2021-11-23	00:06:20	7	right	chair/Chair_R_small.png	background/grassfield_adjusted.png	true	-234	2.284
7	2021-11-23	00:06:20	8	left	averted_gaze/YC_L2_small.png	background/grassfield_adjusted.png	true	241	2.397
7	2021-11-23	00:06:20	9	right	averted_gaze/YC_R2_small.png	background/grassfield_adjusted.png	true	-234	2.768
7	2021-11-23	00:06:20	10	left	averted_gaze/YC_L2_small.png	background/sea_adjusted.png	true	218	2.069
7	2021-11-23	00:06:20	11	right	averted_gaze/CC_R2_small.png	background/sea_adjusted.png	true	-221	1.84
7	2021-11-23	00:06:20	12	left	chair/Chair_Black_L.png	background/grassfield_adjusted.png	true	221	1.868
7	2021-11-23	00:06:20	13	left	chair/Chair_L_small.png	background/grassfield_adjusted.png	true	205	1.87
7	2021-11-23	00:06:20	14	left	averted_gaze/CC_L2_small.png	background/sea_adjusted.png	true	218	2.118
7	2021-11-23	00:06:20	15	left	chair/Chair_Black_L.png	background/sea_adjusted.png	true	213	2.03
7	2021-11-23	00:06:20	16	right	averted_gaze/YC_R2_small.png	background/sea_adjusted.png	true	-234	5.396
num	date	subjStartTime	trialNum	facingDir	stimName	background	inView	imagAdj	rt
10	2021-11-23	01:23:04	1	left	chair/Chair_Black_L.png	background/sea_adjusted.png	true	158	2.455
10	2021-11-23	01:23:04	2	left	chair/Chair_Black_L.png	background/grassfield_adjusted.png	true	154	2.517
10	2021-11-23	01:23:04	3	right	chair/Chair_Black_R.png	background/grassfield_adjusted.png	true	-151	5.276
10	2021-11-23	01:23:04	4	right	averted_gaze/YC_R2_small.png	background/grassfield_adjusted.png	true	-3	4.89
10	2021-11-23	01:23:04	5	right	chair/Chair_Black_R.png	background/sea_adjusted.png	true	-182	2.627
10	2021-11-23	01:23:04	6	right	averted_gaze/CC_R2_small.png	background/sea_adjusted.png	true	0	5.302
10	2021-11-23	01:23:04	7	left	averted_gaze/YC_L2_small.png	background/sea_adjusted.png	true	2	2.453
10	2021-11-23	01:23:04	8	right	averted_gaze/YC_R2_small.png	background/sea_adjusted.png	true	-167	3.107
10	2021-11-23	01:23:04	9	left	averted_gaze/CC_L2_small.png	background/grassfield_adjusted.png	true	145	3.318
10	2021-11-23	01:23:04	10	left	averted_gaze/YC_L2_small.png	background/grassfield_adjusted.png	true	141	2.756
10	2021-11-23	01:23:04	11	left	chair/Chair_L_small.png	background/sea_adjusted.png	true	165	2.093
10	2021-11-23	01:23:04	12	left	chair/Chair_L_small.png	background/grassfield_adjusted.png	true	168	2.432
10	2021-11-23	01:23:04	13	left	averted_gaze/CC_L2_small.png	background/sea_adjusted.png	true	182	5.571
10	2021-11-23	01:23:04	14	right	chair/Chair_R_small.png	background/sea_adjusted.png	true	-194	2.111
10	2021-11-23	01:23:04	15	right	averted_gaze/CC_R2_small.png	background/grassfield_adjusted.png	true	-190	2.628
10	2021-11-23	01:23:04	16	right	chair/Chair_R_small.png	background/grassfield_adjusted.png	true	-201	2.587
num	date	subjStartTime	trialNum	facingDir	stimName	background	inView	imagAdj	rt
11	2021-11-23	01:21:37	1	right	averted_gaze/CC_R2_small.png	background/grassfield_adjusted.png	true	154	11.101
11	2021-11-23	01:21:37	2	right	averted_gaze/CC_R2_small.png	background/sea_adjusted.png	true	-198	6.508
11	2021-11-23	01:21:37	3	left	chair/Chair_L_small.png	background/sea_adjusted.png	true	199	4.852
11	2021-11-23	01:21:37	4	left	averted_gaze/YC_L2_small.png	background/grassfield_adjusted.png	true	179	5.166
11	2021-11-23	01:21:37	5	left	chair/Chair_L_small.png	background/grassfield_adjusted.png	true	197	11.291
11	2021-11-23	01:21:37	6	right	chair/Chair_Black_R.png	background/sea_adjusted.png	true	-201	13.489
11	2021-11-23	01:21:37	7	right	chair/Chair_R_small.png	background/grassfield_adjusted.png	true	-200	4.436
11	2021-11-23	01:21:37	8	left	chair/Chair_Black_L.png	background/grassfield_adjusted.png	true	213	7.123
11	2021-11-23	01:21:37	9	right	chair/Chair_Black_R.png	background/grassfield_adjusted.png	true	-198	12.908
11	2021-11-23	01:21:37	10	left	averted_gaze/YC_L2_small.png	background/sea_adjusted.png	true	165	5.613
11	2021-11-23	01:21:37	11	right	averted_gaze/YC_R2_small.png	background/grassfield_adjusted.png	true	-153	10.239
11	2021-11-23	01:21:37	12	right	averted_gaze/YC_R2_small.png	background/sea_adjusted.png	true	-187	20.289
11	2021-11-23	01:21:37	13	left	averted_gaze/CC_L2_small.png	background/grassfield_adjusted.png	true	182	5.125
11	2021-11-23	01:21:37	14	right	chair/Chair_R_small.png	background/sea_adjusted.png	true	-203	6.992
11	2021-11-23	01:21:37	15	left	averted_gaze/CC_L2_small.png	background/sea_adjusted.png	true	154	3.907
11	2021-11-23	01:21:37	16	left	chair/Chair_Black_L.png	background/sea_adjusted.png	true	208	6.876
num	date	subjStartTime	trialNum	facingDir	stimName	background	inView	imagAdj	rt
12	2021-11-23	01:41:21	1	left	averted_gaze/YC_L2_small.png	background/grassfield_adjusted.png	true	0	5.493
12	2021-11-23	01:41:21	2	right	chair/Chair_R_small.png	background/grassfield_adjusted.png	true	-242	3.878
12	2021-11-23	01:41:21	3	right	chair/Chair_Black_R.png	background/grassfield_adjusted.png	true	-253	3.814
12	2021-11-23	01:41:21	4	right	chair/Chair_R_small.png	background/sea_adjusted.png	true	-248	2.153
12	2021-11-23	01:41:21	5	left	averted_gaze/YC_L2_small.png	background/sea_adjusted.png	true	-2	2.973
12	2021-11-23	01:41:21	6	right	averted_gaze/CC_R2_small.png	background/grassfield_adjusted.png	true	-4	4.167
12	2021-11-23	01:41:21	7	right	averted_gaze/YC_R2_small.png	background/sea_adjusted.png	true	0	6.14
12	2021-11-23	01:41:21	8	right	chair/Chair_Black_R.png	background/sea_adjusted.png	true	-248	3.128
12	2021-11-23	01:41:21	9	left	chair/Chair_L_small.png	background/grassfield_adjusted.png	true	248	2.448
12	2021-11-23	01:41:21	10	left	chair/Chair_L_small.png	background/sea_adjusted.png	true	251	2.755
12	2021-11-23	01:41:21	11	left	chair/Chair_Black_L.png	background/sea_adjusted.png	true	250	2.592
12	2021-11-23	01:41:21	12	right	averted_gaze/CC_R2_small.png	background/sea_adjusted.png	true	-146	2.223
12	2021-11-23	01:41:21	13	left	chair/Chair_Black_L.png	background/grassfield_adjusted.png	true	246	2.65
12	2021-11-23	01:41:21	14	left	averted_gaze/CC_L2_small.png	background/sea_adjusted.png	true	98	2.968
12	2021-11-23	01:41:21	15	right	averted_gaze/YC_R2_small.png	background/grassfield_adjusted.png	true	-87	2.544
12	2021-11-23	01:41:21	16	left	averted_gaze/CC_L2_small.png	background/grassfield_adjusted.png	true	115	2.943
num	date	subjStartTime	trialNum	facingDir	stimName	background	inView	imagAdj	rt
14	2021-11-23	01:58:32	1	right	chair/Chair_R_small.png	background/grassfield_adjusted.png	true	-260	9.65
14	2021-11-23	01:58:32	2	left	averted_gaze/CC_L2_small.png	background/grassfield_adjusted.png	true	-5	4.05
14	2021-11-23	01:58:32	3	left	averted_gaze/YC_L2_small.png	background/sea_adjusted.png	true	-6	7.138
14	2021-11-23	01:58:32	4	right	averted_gaze/YC_R2_small.png	background/sea_adjusted.png	true	-260	3.786
14	2021-11-23	01:58:32	5	right	chair/Chair_R_small.png	background/sea_adjusted.png	true	-260	2.105
14	2021-11-23	01:58:32	6	left	chair/Chair_Black_L.png	background/grassfield_adjusted.png	true	254	2.588
14	2021-11-23	01:58:32	7	right	averted_gaze/CC_R2_small.png	background/sea_adjusted.png	true	260	4.192
14	2021-11-23	01:58:32	8	left	averted_gaze/YC_L2_small.png	background/grassfield_adjusted.png	true	-260	4.135
14	2021-11-23	01:58:32	9	right	averted_gaze/CC_R2_small.png	background/grassfield_adjusted.png	true	260	3.161
14	2021-11-23	01:58:32	10	left	averted_gaze/CC_L2_small.png	background/sea_adjusted.png	true	-260	2.393
14	2021-11-23	01:58:32	11	left	chair/Chair_L_small.png	background/sea_adjusted.png	true	260	2.205
14	2021-11-23	01:58:32	12	left	chair/Chair_L_small.png	background/grassfield_adjusted.png	true	260	2.008
14	2021-11-23	01:58:32	13	right	chair/Chair_Black_R.png	background/grassfield_adjusted.png	true	-253	2.107
14	2021-11-23	01:58:32	14	right	averted_gaze/YC_R2_small.png	background/grassfield_adjusted.png	true	-260	5.353
14	2021-11-23	01:58:32	15	left	chair/Chair_Black_L.png	background/sea_adjusted.png	true	260	3.282
14	2021-11-23	01:58:32	16	right	chair/Chair_Black_R.png	background/sea_adjusted.png	true	-227	6.775
num	date	subjStartTime	trialNum	facingDir	stimName	background	inView	imagAdj	rt
15	2021-11-23	02:04:21	1	right	averted_gaze/CC_R2_small.png	background/grassfield_adjusted.png	true	-193	12.178
15	2021-11-23	02:04:21	2	right	averted_gaze/YC_R2_small.png	background/sea_adjusted.png	true	-198	10.473
15	2021-11-23	02:04:21	3	left	averted_gaze/YC_L2_small.png	background/sea_adjusted.png	true	179	5.441
15	2021-11-23	02:04:21	4	right	chair/Chair_Black_R.png	background/sea_adjusted.png	true	-143	7.579
15	2021-11-23	02:04:21	5	right	averted_gaze/CC_R2_small.png	background/sea_adjusted.png	true	-159	5.832
15	2021-11-23	02:04:21	6	right	chair/Chair_R_small.png	background/sea_adjusted.png	true	-142	6.42
15	2021-11-23	02:04:21	7	left	averted_gaze/CC_L2_small.png	background/sea_adjusted.png	true	190	4.569
15	2021-11-23	02:04:21	8	left	averted_gaze/YC_L2_small.png	background/grassfield_adjusted.png	true	200	5.695
15	2021-11-23	02:04:21	9	right	chair/Chair_Black_R.png	background/grassfield_adjusted.png	true	-154	4.634
15	2021-11-23	02:04:21	10	left	chair/Chair_Black_L.png	background/grassfield_adjusted.png	true	187	5.83
15	2021-11-23	02:04:21	11	left	chair/Chair_L_small.png	background/grassfield_adjusted.png	true	182	4.074
15	2021-11-23	02:04:21	12	right	chair/Chair_R_small.png	background/grassfield_adjusted.png	true	-183	4.241
15	2021-11-23	02:04:21	13	right	averted_gaze/YC_R2_small.png	background/grassfield_adjusted.png	true	-160	4.246
15	2021-11-23	02:04:21	14	left	averted_gaze/CC_L2_small.png	background/grassfield_adjusted.png	true	185	3.709
15	2021-11-23	02:04:21	15	left	chair/Chair_L_small.png	background/sea_adjusted.png	true	170	5.381
15	2021-11-23	02:04:21	16	left	chair/Chair_Black_L.png	background/sea_adjusted.png	true	154	4.997
num	date	subjStartTime	trialNum	facingDir	stimName	background	inView	imagAdj	rt
16	2021-11-23	02:13:02	1	left	chair/Chair_Black_L.png	background/sea_adjusted.png	true	192	2.896
16	2021-11-23	02:13:02	2	left	averted_gaze/CC_L2_small.png	background/grassfield_adjusted.png	true	148	3.297
16	2021-11-23	02:13:02	3	right	averted_gaze/CC_R2_small.png	background/grassfield_adjusted.png	true	-201	2.969
16	2021-11-23	02:13:02	4	left	chair/Chair_L_small.png	background/grassfield_adjusted.png	true	235	2.223
16	2021-11-23	02:13:02	5	right	averted_gaze/YC_R2_small.png	background/sea_adjusted.png	true	-211	1.933
16	2021-11-23	02:13:02	6	left	averted_gaze/CC_L2_small.png	background/sea_adjusted.png	true	197	2.005
16	2021-11-23	02:13:02	7	left	chair/Chair_L_small.png	background/sea_adjusted.png	true	198	1.443
16	2021-11-23	02:13:02	8	right	chair/Chair_R_small.png	background/grassfield_adjusted.png	true	-206	1.43
16	2021-11-23	02:13:02	9	right	averted_gaze/CC_R2_small.png	background/sea_adjusted.png	true	-205	2.035
16	2021-11-23	02:13:02	10	right	chair/Chair_Black_R.png	background/sea_adjusted.png	true	-181	1.489
16	2021-11-23	02:13:02	11	right	chair/Chair_Black_R.png	background/grassfield_adjusted.png	true	-157	1.661
16	2021-11-23	02:13:02	12	left	averted_gaze/YC_L2_small.png	background/grassfield_adjusted.png	true	192	1.735
16	2021-11-23	02:13:02	13	left	chair/Chair_Black_L.png	background/grassfield_adjusted.png	true	185	1.855
16	2021-11-23	02:13:02	14	right	chair/Chair_R_small.png	background/sea_adjusted.png	true	-221	1.139
16	2021-11-23	02:13:02	15	left	averted_gaze/YC_L2_small.png	background/sea_adjusted.png	true	237	1.701
16	2021-11-23	02:13:02	16	right	averted_gaze/YC_R2_small.png	background/grassfield_adjusted.png	true	-219	1.687
num	date	subjStartTime	trialNum	facingDir	stimName	background	inView	imagAdj	rt
17	2021-11-23	02:13:24	1	left	chair/Chair_Black_L.png	background/sea_adjusted.png	true	185	3.281
17	2021-11-23	02:13:24	2	left	averted_gaze/YC_L2_small.png	background/grassfield_adjusted.png	true	8	6.108
17	2021-11-23	02:13:24	3	left	chair/Chair_L_small.png	background/grassfield_adjusted.png	true	193	11.051
17	2021-11-23	02:13:24	4	left	averted_gaze/YC_L2_small.png	background/sea_adjusted.png	true	7	10.138
17	2021-11-23	02:13:24	5	right	averted_gaze/YC_R2_small.png	background/grassfield_adjusted.png	true	5	11.185
17	2021-11-23	02:13:24	6	right	chair/Chair_R_small.png	background/sea_adjusted.png	true	-217	4.535
17	2021-11-23	02:13:24	7	right	averted_gaze/CC_R2_small.png	background/grassfield_adjusted.png	true	8	3.593
17	2021-11-23	02:13:24	8	left	chair/Chair_Black_L.png	background/grassfield_adjusted.png	true	202	1.793
17	2021-11-23	02:13:24	9	right	chair/Chair_R_small.png	background/grassfield_adjusted.png	true	-232	2.583
17	2021-11-23	02:13:24	10	right	averted_gaze/YC_R2_small.png	background/sea_adjusted.png	true	11	2.312
17	2021-11-23	02:13:24	11	left	averted_gaze/CC_L2_small.png	background/sea_adjusted.png	true	12	3.051
17	2021-11-23	02:13:24	12	left	chair/Chair_L_small.png	background/sea_adjusted.png	true	231	3.293
17	2021-11-23	02:13:24	13	right	chair/Chair_Black_R.png	background/sea_adjusted.png	true	-203	2.415
17	2021-11-23	02:13:24	14	left	averted_gaze/CC_L2_small.png	background/grassfield_adjusted.png	true	5	2.896
17	2021-11-23	02:13:24	15	right	chair/Chair_Black_R.png	background/grassfield_adjusted.png	true	-208	3.302
17	2021-11-23	02:13:24	16	right	averted_gaze/CC_R2_small.png	background/sea_adjusted.png	true	13	2.298
num	date	subjStartTime	trialNum	facingDir	stimName	background	inView	imagAdj	rt
18	2021-11-23	03:01:02	1	right	chair/Chair_R_small.png	background/grassfield_adjusted.png	true	-191	9.163
